Kata,Frekuensi
game,38889
ya,32123
bagus,23844
main,13793
tolong,13069
update,11901
pemain,11498
banget,9104
konami,9001
jaringan,7239
liga,6406
sinyal,5219
kasih,5179
seru,4972
perbaiki,4707
kayak,4658
lawan,4537
pas,4437
bola,3903
divisi,3587
suka,3510
efootball,3401
grafik,3342
sih,3277
biar,3277
gue,3103
gamenya,3059
indonesia,3037
susah,3025
kalah,3005
player,2985
mantap,2873
bikin,2867
jelek,2867
lag,2844
tambahkan,2813
delay,2789
akun,2677
hp,2657
gameplay,2656
the,2587
mulu,2535
gua,2493
pakai,2490
nih,2435
ngelag,2425
kali,2410
bintang,2392
keren,2382
server,2323
fitur,2208
pvp,2169
ai,2160
min,2151
enak,2103
download,2072
musuh,1997
berat,1956
masuk,1928
lancar,1925
menang,1869
bug,1863
patah,1861
bermain,1858
data,1825
aneh,1806
parah,1799
permainan,1789
mode,1768
online,1749
mohon,1667
cuman,1640
orang,1611
script,1594
event,1592
buruk,1533
gacha,1532
kadang,1509
gem,1509
play,1493
habis,1461
semoga,1449
nya,1431
koin,1416
tim,1414
coba,1411
laga,1401
wifi,1391
tolol,1382
epic,1379
ngeleg,1366
sistem,1337
diperbaiki,1336
hilang,1325
top,1286
benerin,1283
gb,1277
login,1259
hoki,1256
umpan,1255
kartu,1245
teman,1239
doang,1238
pes,1231
club,1228
champions,1202
terbaik,1198
is,1197
dikit,1192
wasit,1191
saran,1154
lisensi,1154
up,1139
please,1104
real,1083
rusak,1075
langsung,1063
mobile,1051
full,1034
ganti,1033
ku,1030
oke,1014
a,1001
i,988
hapus,987
koneksi,985
kontrol,985
and,978
good,976
madrid,963
developer,960
vs,957
komentator,930
tombol,914
kebanyakan,904
logo,885
legend,879
fc,873
lumayan,861
sampah,859
mending,855
hd,833
pertandingan,822
win,822
giliran,821
pembaruan,816
sesuai,813
pelit,810
pemainnya,807
league,805
football,801
match,795
menarik,794
geme,788
ronaldo,787
kikir,785
stabil,783
gol,775
lambat,759
pay,754
malas,753
terimakasih,752
adil,751
bosan,751
kocak,742
aplikasi,739
rating,730
kecewa,721
grafiknya,717
klub,715
lemot,706
pokoknya,703
spin,703
kagak,700
nge,697
this,685
ram,685
ok,675
ampas,670
sayang,667
cepat,667
kena,664
piala,661
beli,660
sulit,656
gratis,656
push,652
ketemu,651
bek,648
mbak,647
sebelah,647
mengadakan,637
kiper,634
segi,633
pergantian,631
analog,628
leg,627
messi,626
gara,625
pelanggaran,623
pemeliharaan,619
anjing,618
realistis,613
burik,594
tau,593
minggu,591
you,589
menit,589
asli,583
e,577
card,577
mainnya,575
ngotak,572
abang,570
plis,570
jaringannya,566
dunia,564
passing,563
best,553
busuk,551
dikasih,551
cup,551
adakan,536
mainkan,535
tuh,534
an,530
jersey,530
timnas,529
cari,527
penyimpanan,526
mengasih,524
kesini,515
stadion,514
terima,513
bansos,508
cheat,506
mudah,501
emosi,499
nyaman,498
turun,497
versi,496
ngelek,496
menyerang,496
gila,489
terbaru,489
cheater,488
mah,488
for,483
memakai,481
asik,481
sepak,479
capek,475
gampang,470
aman,470
mainin,469
mencari,463
menunggu,459
poin,458
tahi,458
semenjak,458
kaku,456
salah,456
sok,453
pengin,450
kemarin,445
champion,443
minimal,441
coin,440
sumpah,437
cocok,433
gede,430
sinyalnya,429
ulang,426
my,425
eh,422
membayangi,422
posisi,422
offline,421
transfer,419
kualitas,419
servernya,417
maintenance,417
efootbal,416
deh,415
of,414
bertahan,413
very,412
skill,410
apk,408
wasitnya,408
gratisan,408
nama,406
kurangi,404
selesai,403
lari,403
lihat,402
devisi,401
kuat,400
no,398
penuh,396
time,396
epik,395
masak,394
animasi,394
but,391
ngoper,388
master,387
perubahan,384
offside,384
kembalikan,382
gawang,382
fix,380
admin,378
beda,376
players,375
tinggal,374
membanyaki,371
dimainkan,369
akal,367
ucl,364
maaf,361
team,361
bot,360
curang,358
ruang,358
stres,356
tambahan,355
on,352
bri,352
grafis,351
perbaikan,350
dll,349
upgrade,348
nendang,347
bahasa,346
level,345
menambah,345
memperbaiki,343
kedepannya,343
tibatiba,342
kentang,340
kacau,339
respon,339
user,337
loading,337
var,337
like,336
seimbang,334
signal,333
pengguna,332
senang,331
not,328
lawannya,326
games,325
bad,324
kamis,323
id,320
unggul,320
tolonglah,320
efotball,319
menyenangkan,319
hancur,319
plongo,317
lapangan,316
kekurangan,315
lengkap,313
anjir,312
uninstall,312
its,311
pencarian,309
that,306
jago,305
be,304
buka,303
gagal,303
nyata,302
perbarui,302
asu,302
turnamen,302
woi,301
fifa,300
mabar,295
hadiah,290
oper,288
memainkan,288
iya,286
puas,285
kencang,283
arah,283
pliss,282
are,282
mahal,282
updet,280
pilih,279
internet,278
shoot,278
apalah,277
control,277
minus,276
harap,276
gameplaynya,276
payah,276
efotbal,275
google,275
niat,273
defend,273
membosankan,273
kuota,272
jam,272
ajg,269
merugikan,267
keluarkan,267
eror,264
uang,262
lelet,258
apdet,255
perbanyak,254
gerak,254
tingkatkan,254
aslinya,254
legenda,254
kemana,253
android,251
when,249
rendah,248
diam,248
misi,246
one,245
negara,244
ditambah,244
macet,243
gerakan,242
updatenya,242
memuaskan,241
bodoh,241
tampilan,241
kendala,240
more,240
cok,240
persib,239
dah,239
skrip,238
ampun,238
even,236
kesel,234
selebrasi,232
tekel,230
ubah,230
support,229
mu,227
atur,226
bos,226
squad,224
if,224
memori,224
